,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
0,0.999865,0.99945,0.999945,0,0.0,Transformer
1,0.999865,0.99945,0.999945,1,0.0,Transformer
2,0.999865,0.99945,0.999945,2,0.0,Transformer
3,0.999865,0.99945,0.999945,3,0.0,Transformer
4,0.999865,0.99945,0.999945,4,0.0,Transformer
5,0.99981,0.9991,0.99991,0,0.02040816326530612,Transformer
6,0.999805,0.99925,0.999925,1,0.02040816326530612,Transformer
7,0.99971,0.9988,0.99988,2,0.02040816326530612,Transformer
8,0.999745,0.99885,0.999885,3,0.02040816326530612,Transformer
9,0.999685,0.9986,0.99986,4,0.02040816326530612,Transformer
10,0.99873,0.9937,0.99937,0,0.04081632653061224,Transformer
11,0.998215,0.99115,0.999115,1,0.04081632653061224,Transformer
12,0.999555,0.9978,0.99978,2,0.04081632653061224,Transformer
13,0.99825,0.99145,0.999145,3,0.04081632653061224,Transformer
14,0.99933,0.9967,0.99967,4,0.04081632653061224,Transformer
15,0.996745,0.9842,0.998405,0,0.061224489795918366,Transformer
16,0.99294,0.96575,0.99646,1,0.061224489795918366,Transformer
17,0.99345,0.9675,0.996715,2,0.061224489795918366,Transformer
18,0.995435,0.9775,0.99772,3,0.061224489795918366,Transformer
19,0.997115,0.9864,0.998605,4,0.061224489795918366,Transformer
20,0.98836,0.94375,0.994225,0,0.08163265306122448,Transformer
21,0.970095,0.85945,0.984985,1,0.08163265306122448,Transformer
22,0.971415,0.89205,0.988545,2,0.08163265306122448,Transformer
23,0.987025,0.93655,0.993555,3,0.08163265306122448,Transformer
24,0.95044,0.77255,0.975645,4,0.08163265306122448,Transformer
25,0.898215,0.6432,0.951375,0,0.1020408163265306,Transformer
26,0.971785,0.86685,0.985735,1,0.1020408163265306,Transformer
27,0.954285,0.79405,0.978235,2,0.1020408163265306,Transformer
28,0.93921,0.74045,0.97096,3,0.1020408163265306,Transformer
29,0.959255,0.85455,0.98413,4,0.1020408163265306,Transformer
30,0.931555,0.7074,0.96606,0,0.12244897959183673,Transformer
31,0.925515,0.75215,0.971655,1,0.12244897959183673,Transformer
32,0.92543,0.72345,0.969035,2,0.12244897959183673,Transformer
33,0.823015,0.4989,0.922705,3,0.12244897959183673,Transformer
34,0.90423,0.6023,0.94797,4,0.12244897959183673,Transformer
35,0.810785,0.4263,0.916395,0,0.14285714285714285,Transformer
36,0.901165,0.59605,0.950335,1,0.14285714285714285,Transformer
