,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
0,0.999865,0.99945,0.999945,0,0.0,Transformer
1,0.999865,0.99945,0.999945,1,0.0,Transformer
2,0.999865,0.99945,0.999945,2,0.0,Transformer
3,0.999865,0.99945,0.999945,3,0.0,Transformer
4,0.999865,0.99945,0.999945,4,0.0,Transformer
5,0.99971,0.9986,0.99986,0,0.02040816326530612,Transformer
6,0.99976,0.99895,0.999895,1,0.02040816326530612,Transformer
7,0.999905,0.9996,0.99996,2,0.02040816326530612,Transformer
8,0.999825,0.9992,0.99992,3,0.02040816326530612,Transformer
9,0.99973,0.99875,0.999875,4,0.02040816326530612,Transformer
10,0.999125,0.99595,0.999595,0,0.04081632653061224,Transformer
11,0.99975,0.9989,0.99989,1,0.04081632653061224,Transformer
12,0.999345,0.99685,0.999685,2,0.04081632653061224,Transformer
13,0.999585,0.99805,0.999805,3,0.04081632653061224,Transformer
14,0.99827,0.99145,0.999145,4,0.04081632653061224,Transformer
15,0.99628,0.9818,0.998165,0,0.061224489795918366,Transformer
16,0.997995,0.9903,0.999025,1,0.061224489795918366,Transformer
17,0.995795,0.97935,0.997925,2,0.061224489795918366,Transformer
18,0.995915,0.9798,0.997965,3,0.061224489795918366,Transformer
19,0.99583,0.97955,0.997945,4,0.061224489795918366,Transformer
20,0.975675,0.8844,0.98769,0,0.08163265306122448,Transformer
21,0.99302,0.96695,0.996515,1,0.08163265306122448,Transformer
22,0.976805,0.88985,0.988465,2,0.08163265306122448,Transformer
23,0.97587,0.8846,0.98786,3,0.08163265306122448,Transformer
24,0.97807,0.89595,0.989005,4,0.08163265306122448,Transformer
25,0.94966,0.77855,0.975495,0,0.1020408163265306,Transformer
26,0.972285,0.8714,0.986485,1,0.1020408163265306,Transformer
27,0.96669,0.843,0.983225,2,0.1020408163265306,Transformer
28,0.94504,0.7537,0.972645,3,0.1020408163265306,Transformer
29,0.975335,0.88255,0.98767,4,0.1020408163265306,Transformer
30,0.94526,0.7591,0.972395,0,0.12244897959183673,Transformer
31,0.936205,0.7243,0.968245,1,0.12244897959183673,Transformer
32,0.906595,0.6563,0.95886,2,0.12244897959183673,Transformer
33,0.850725,0.54775,0.93954,3,0.12244897959183673,Transformer
34,0.927315,0.69515,0.96544,4,0.12244897959183673,Transformer
35,0.593125,0.19575,0.84202,0,0.14285714285714285,Transformer
36,0.713185,0.27195,0.84118,1,0.14285714285714285,Transformer
